ID	label
Node(Edge)_id0: Digitising_R&D	Graph
Node(Edge)_id1: 4._Winning_with_people_	Graph
Node(Edge)_id2: Alignment_with_Product_lifecycle	Graph
Node(Edge)_id3: supply_chain_improvement_project	Graph
Node(Edge)_id4: 7._Consumer_insight_	Graph
Node(Edge)_id5: Digital_transformation	Graph
Node(Edge)_id6: Agility_for_a_Changing_Market:_	Graph
Node(Edge)_id7: Poor_project_execution	Graph
Node(Edge)_id8: regulatory_compliance project	Graph
Node(Edge)_id9: 3._Winning_through_continuous_improvement	Graph
Node(Edge)_id10: Slowing_digitisation_pace	Graph
Node(Edge)_id11: Rescope_large_project_which_has_failed_to_deliver_in_2020	Graph
Node(Edge)_id12: Org._transformation_programme_2	Graph
Node(Edge)_id13: Acquisition_programme_2	Graph
Node(Edge)_id14: 1._Consumer_benefits	Graph
Node(Edge)_id15: Data_management_enhancement_programme_1	Graph
Node(Edge)_id16: Divestment_	Graph
Node(Edge)_id17: Ongoing_compliance_with_competition_laws	Graph
Node(Edge)_id18: Acquisitions	Graph
Node(Edge)_id19: Value_theme	Graph
Node(Edge)_id20: Identify_best_practice_regulatory_project_as_examplar	Graph
Node(Edge)_id21: 3._Improved_health_and_well_being	Graph
Node(Edge)_id22: Conduct_project_assurance_readiness_for_Brexit_Programme	Graph
Node(Edge)_id23: P3M_Support	Graph
Node(Edge)_id24: Cross-project_review_of_plastic_dependencies	Graph
Node(Edge)_id25: Net_Revenue_Mgt_programme	Graph
Node(Edge)_id26: Regular_progress_updates	Graph
Node(Edge)_id27: Key_(2017-8)_programme	Graph
Node(Edge)_id28: 4._Intangible_assets	Graph
Node(Edge)_id29: Systems_integration_programme	Graph
Node(Edge)_id30: 5._Tangible_assets	Graph
Node(Edge)_id31: Project_Programme_recovery	Graph
Node(Edge)_id32: Portfolio_management	Graph
Node(Edge)_id33: 6._Consumer_Use	Graph
Node(Edge)_id34: Non-Delivery_of_benefits	Graph
Node(Edge)_id35: Brexit_Programme	Graph
Node(Edge)_id36: 7._Stakeholders_and_partners	Graph
Node(Edge)_id37: P3M_Optimisation	Graph
Node(Edge)_id38: 1._Winning_with_brands_and_innovation	Graph
Node(Edge)_id39: Acquisition_Programme_1	Graph
Node(Edge)_id40: Business_disruption_	Graph
Node(Edge)_id41: 3._Financial_Resources	Graph
Node(Edge)_id42: Organisational_transformation	Graph
Node(Edge)_id43: Broad_stakeholder_representation	Graph
Node(Edge)_id44: Margin_pressures	Graph
Node(Edge)_id45: 6._Suppliers	Graph
Node(Edge)_id46: P3M_Assessment	Graph
Node(Edge)_id47: Disposal_programme_1	Graph
Node(Edge)_id48: Faster_product_portfolio_evolution	Graph
